DataID,Match ID,Team,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att,Home Or Away,Crowd,Year
1,20-0101,Norwich City,1,1,0,0,13,6,2,0,537,172,17,10,17,1,1,0.9,22,2,304,395,77,2117,323,815,3,10,A,Yes,20
2,20-0102,Manchester City,5,4,1,1,13,8,2,0,678,177,26,5,8,3.1,2.3,1.7,25,9,495,564,87.8,2945,429,1858,12,21,A,Yes,20
3,20-0103,Southampton,0,0,0,0,12,3,0,0,557,202,11,6,12,0.8,0.8,0.6,12,0,283,412,68.7,2017,285,934,9,20,A,Yes,20
4,20-0104,Brighton,2,2,0,0,4,3,1,0,594,145,17,13,17,0.7,0.7,0.7,9,5,369,464,79.5,2462,368,901,8,11,A,Yes,20
5,20-0105,Sheffield Utd,1,0,0,0,8,3,1,0,593,190,17,15,18,1.2,1.2,0.7,12,1,367,477,76.9,2065,309,750,6,11,A,Yes,20
6,20-0106,Everton,0,0,0,0,10,2,3,1,703,136,17,8,17,1,1,0.5,13,0,443,560,79.1,2951,437,1181,7,17,A,Yes,20
7,20-0107,Aston Villa,1,1,0,0,7,4,0,0,417,153,25,8,27,0.6,0.6,0.5,10,2,212,277,76.5,1729,247,861,7,9,A,Yes,20
8,20-0108,Arsenal,1,1,0,0,7,2,3,0,779,237,12,6,9,1,1,1,14,2,560,655,85.5,3396,608,1691,11,17,A,Yes,20
9,20-0109,Wolves,0,0,0,0,7,2,2,0,474,149,25,10,29,0.6,0.6,0.4,12,0,224,324,69.1,2040,232,852,19,31,A,Yes,20
10,20-0110,Chelsea,0,0,0,0,18,7,4,0,681,213,20,8,22,0.8,0.8,0.6,29,0,470,564,83.3,2338,499,1358,14,24,A,Yes,20
11,20-0201,Burnley,1,0,0,0,17,4,1,0,411,116,18,6,20,1.3,1.3,0.7,18,1,180,271,66.4,1922,193,631,7,11,A,Yes,20
12,20-0202,Liverpool,2,2,0,0,15,5,1,0,699,129,4,8,18,1.4,1.4,1.2,23,4,442,565,78.2,2842,449,1207,8,15,A,Yes,20
13,20-0203,Newcastle Utd,1,1,0,0,12,3,3,0,466,184,18,9,16,0.7,0.7,0.6,15,2,279,358,77.9,2082,329,823,11,18,A,Yes,20
14,20-0204,West Ham,1,1,0,0,8,3,2,0,543,197,21,11,21,0.8,0.8,0.8,12,2,301,408,73.8,1611,345,1131,19,25,A,Yes,20
15,20-0205,Watford,0,0,0,0,8,2,3,0,579,148,29,12,18,1,1,0.8,10,0,319,431,74,2657,315,984,10,20,A,Yes,20
16,20-0206,Bournemouth,2,0,1,1,11,3,2,0,447,195,14,11,22,1.3,0.5,0.5,21,2,230,321,71.7,2077,257,772,2,5,A,Yes,20
17,20-0207,Tottenham,2,2,0,0,3,2,0,0,628,194,15,3,31,0.3,0.3,0.3,5,3,427,515,82.9,2154,457,1101,12,20,A,Yes,20
18,20-0208,Crystal Palace,0,0,0,0,6,4,1,0,667,120,20,7,25,0.2,0.2,0.1,9,0,414,524,79,2566,430,1132,12,17,A,Yes,20
19,20-0209,Leicester City,1,1,0,0,13,4,0,0,613,191,26,10,19,0.8,0.8,0.7,16,2,368,478,77,2573,367,1103,16,20,A,Yes,20
20,20-0210,Manchester Utd,1,1,0,1,8,1,2,0,799,224,23,7,11,1.3,0.6,0.4,13,2,585,681,85.9,3114,554,1623,8,20,A,Yes,20
21,20-0301,Everton,0,0,0,0,12,0,3,0,671,172,13,2,7,1,1,1,19,0,466,579,80.5,3137,440,1458,17,18,A,Yes,20
22,20-0302,Chelsea,3,3,0,0,24,8,1,0,707,205,22,8,11,2.1,2.1,1.9,42,6,487,579,84.1,2696,554,1540,29,32,A,Yes,20
23,20-0303,Southampton,2,2,0,0,12,4,3,0,539,190,22,8,18,1.8,1.8,1.6,20,4,321,418,76.8,2124,330,1244,10,16,A,Yes,20
24,20-0304,Crystal Palace,2,1,0,0,5,3,4,0,370,215,24,12,19,0.7,0.7,0.5,4,2,165,250,66,1726,171,518,12,14,A,Yes,20
25,20-0305,West Ham,3,1,1,1,14,9,1,0,547,133,16,11,23,3.5,2.7,2.1,27,5,334,423,79,2551,340,1309,11,18,A,Yes,20
26,20-0306,Leicester City,2,2,0,0,13,3,0,0,626,216,16,15,16,0.9,0.9,0.6,25,4,390,485,80.4,2747,387,1177,7,13,A,Yes,20
27,20-0307,Arsenal,1,0,0,0,9,3,1,0,671,215,19,8,29,0.9,0.9,0.4,14,0,451,531,84.9,2624,478,1475,16,24,A,Yes,20
28,20-0308,Manchester City,3,3,0,0,16,5,3,0,860,118,13,2,11,2.3,2.3,1.5,29,5,666,764,87.2,3246,635,2057,10,16,A,Yes,20
29,20-0309,Newcastle Utd,1,1,0,0,8,3,2,0,362,190,15,5,19,0.4,0.4,0.4,14,2,155,215,72.1,1513,167,687,7,12,A,Yes,20
30,20-0310,Burnley,1,1,0,0,12,2,2,0,447,148,12,9,13,1.2,1.2,0.9,16,1,215,335,64.2,2063,254,795,7,12,A,Yes,20
31,20-0401,Manchester Utd,1,1,0,0,21,8,2,0,723,132,20,4,16,1.6,1.6,1.5,38,2,464,580,80,2933,494,1568,14,30,A,Yes,20
32,20-0402,Bournemouth,1,1,0,0,9,2,3,0,593,216,18,10,17,0.9,0.9,0.9,16,2,355,474,74.9,2450,366,1233,11,17,A,Yes,20
33,20-0403,Sheffield Utd,1,1,0,0,8,2,1,0,556,182,15,15,11,1.1,1.1,1,13,3,354,447,79.2,2388,350,853,6,15,A,Yes,20
34,20-0404,Norwich City,0,0,0,0,8,3,1,0,646,210,14,5,27,1.3,1.3,1.1,13,0,438,517,84.7,2496,446,1539,28,32,A,Yes,20
35,20-0405,Aston Villa,0,0,0,0,10,2,6,1,523,129,15,6,23,0.3,0.3,0.2,19,0,310,383,80.9,2241,320,1246,12,14,A,Yes,20
36,20-0406,Watford,1,0,0,0,13,3,3,0,659,195,17,12,19,1.3,1.3,0.4,18,1,409,523,78.2,2585,434,1034,13,19,A,Yes,20
37,20-0407,Brighton,0,0,0,0,7,2,1,0,618,201,15,13,13,0.5,0.5,0.4,9,0,450,529,85.1,2355,414,1204,7,13,A,Yes,20
38,20-0408,Liverpool,2,2,0,0,15,6,0,0,686,111,14,8,15,1.1,1.1,0.9,26,5,448,581,77.1,2948,456,1461,16,25,A,Yes,20
39,20-0409,Wolves,2,1,0,0,8,5,6,1,480,139,22,10,21,1.3,1.3,0.4,10,2,231,357,64.7,2275,256,774,14,16,A,Yes,20
40,20-0410,Tottenham,2,0,1,1,12,8,5,0,522,189,17,7,22,2.3,1.5,0.6,21,3,308,401,76.8,2390,301,982,9,18,A,Yes,20
41,20-0501,Newcastle Utd,1,1,0,0,8,1,0,0,443,200,21,6,26,0.4,0.4,0.3,12,2,220,320,68.8,1915,258,673,10,22,A,Yes,20
42,20-0502,Leicester City,0,0,0,0,9,3,2,0,634,209,26,9,21,0.4,0.4,0.2,10,0,397,500,79.4,2650,424,1080,17,28,A,Yes,20
43,20-0503,Crystal Palace,0,0,0,0,11,7,3,0,473,145,14,15,8,0.8,0.8,0.6,15,0,276,359,76.9,2235,257,915,7,10,A,Yes,20
44,20-0504,Chelsea,5,3,0,0,15,6,2,0,734,206,21,13,19,1.9,1.9,1.4,22,4,502,584,86,3047,508,1471,12,17,A,Yes,20
45,20-0505,Southampton,1,1,0,0,12,7,1,0,642,192,12,6,24,1.3,1.3,0.6,21,2,387,500,77.4,2500,381,1072,22,26,A,Yes,20
46,20-0506,Burnley,1,1,0,0,7,1,2,0,458,183,18,6,24,0.6,0.6,0.2,11,2,200,316,63.3,1586,241,693,6,15,A,Yes,20
47,20-0507,Manchester City,2,2,0,0,26,8,1,0,819,117,14,9,16,2.2,2.2,1.5,33,4,614,720,85.3,2922,573,2405,22,30,A,Yes,20
48,20-0508,Everton,1,1,0,0,14,5,4,0,650,174,21,9,24,1.4,1.4,0.7,19,2,390,512,76.2,2853,401,1089,19,24,A,Yes,20
49,20-0509,Arsenal,2,2,0,0,7,4,3,0,587,187,11,8,12,0.9,0.9,0.9,14,4,420,492,85.4,2296,387,1403,19,27,A,Yes,20
50,20-0510,West Ham,0,0,0,0,13,1,3,1,628,228,22,5,21,0.5,0.5,0.5,20,0,418,512,81.6,2737,422,1318,16,21,A,Yes,20
51,20-0601,Bournemouth,3,3,0,0,6,3,3,0,473,241,12,6,20,1.2,1.2,0.3,7,4,196,308,63.6,1625,246,892,17,41,A,Yes,20
52,20-0602,Tottenham,1,1,0,0,11,5,2,0,659,168,18,4,18,1.2,1.2,1.2,22,2,415,525,79,2609,382,1300,12,26,A,Yes,20
53,20-0603,Norwich City,0,0,0,0,11,2,1,0,657,187,23,2,14,0.6,0.6,0.3,17,0,447,551,81.1,2507,422,1693,13,30,A,Yes,20
54,20-0604,Sheffield Utd,1,1,0,0,2,1,3,0,411,141,22,5,23,0.2,0.2,0.2,4,2,159,258,61.6,1591,194,510,10,19,A,Yes,20
55,20-0605,Watford,0,0,0,0,5,4,2,0,457,294,14,7,15,0.3,0.3,0.3,9,0,281,361,77.8,1485,306,823,7,18,A,Yes,20
56,20-0606,Brighton,0,0,0,0,16,2,1,0,865,166,15,7,16,1,1,0.8,30,0,651,739,88.1,3839,610,1677,10,2,A,Yes,20
57,20-0607,Manchester Utd,0,0,0,0,10,4,2,0,621,135,15,7,23,1,1,0.9,17,0,410,512,80.1,2470,392,1352,14,22,A,Yes,20
58,20-0608,Wolves,1,1,0,0,13,4,3,1,603,256,30,21,13,0.9,0.9,0.9,19,2,369,478,77.2,2336,398,1632,6,11,A,Yes,20
59,20-0609,Aston Villa,2,2,0,0,14,9,1,0,470,116,18,9,24,1.1,1.1,1,25,4,275,352,78.1,2207,307,1347,13,15,A,Yes,20
60,20-0610,Liverpool,2,2,0,0,6,3,3,0,562,234,9,7,15,0.9,0.9,0.9,11,4,319,439,72.7,2452,323,723,11,12,A,Yes,20
61,20-0701,Liverpool,1,0,0,0,16,4,1,0,852,135,15,4,18,1.9,1.9,1,15,0,612,720,85,3585,546,1621,8,11,A,Yes,20
62,20-0702,Burnley,2,2,0,0,10,3,4,0,409,156,18,8,18,1.5,1.5,1.4,18,3,200,302,66.2,1883,189,553,5,12,A,Yes,20
63,20-0703,Norwich City,0,0,0,0,10,3,1,0,676,126,20,7,19,0.5,0.5,0.5,20,0,455,555,82,2988,434,1298,10,1,A,Yes,20
64,20-0704,Watford,0,0,0,0,14,5,1,0,774,138,16,7,8,1,1,0.5,23,0,566,678,83.5,2939,585,1305,13,23,A,Yes,20
65,20-0705,Southampton,1,0,0,0,15,6,2,0,680,130,22,3,10,1.6,1.6,0.5,23,1,479,567,84.5,2563,433,1452,7,16,A,Yes,20
66,20-0706,Brighton,0,0,0,0,8,1,3,0,656,266,20,9,20,0.5,0.5,0.5,13,0,434,529,82,2546,440,1236,9,14,A,Yes,20
67,20-0707,West Ham,2,2,0,0,17,6,1,0,631,132,23,4,16,1.5,1.5,1.4,32,4,403,524,76.9,2362,369,1251,6,12,A,Yes,20
68,20-0708,Manchester City,3,1,0,0,20,10,2,0,780,130,16,4,17,3.5,3.5,3.1,34,5,593,659,90,3230,527,2252,19,31,A,Yes,20
69,20-0709,Newcastle Utd,0,0,0,0,3,0,1,1,473,171,16,8,17,0.2,0.2,0.1,4,0,265,343,77.3,2199,254,780,9,1,A,Yes,20
70,20-0710,Arsenal,1,1,0,0,10,5,2,0,522,165,18,6,28,1.9,1.9,1.4,16,1,298,397,75.1,2171,323,870,10,15,A,Yes,20
71,20-0801,Tottenham,0,0,0,0,8,3,1,0,700,238,24,9,19,0.6,0.6,0.6,12,0,470,577,81.5,2268,461,1461,14,25,A,Yes,20
72,20-0802,Aston Villa,5,5,0,1,21,10,3,0,515,154,17,9,23,2.9,2.1,1.5,35,10,291,375,77.6,2379,295,1002,9,13,A,Yes,20
73,20-0803,Everton,0,0,0,0,11,2,3,1,608,142,8,6,16,0.9,0.9,0.3,15,0,387,515,75.1,2644,338,1227,8,14,A,Yes,20
74,20-0804,Leicester City,1,1,0,0,2,1,4,0,607,187,14,9,21,0.1,0.1,0.1,2,2,364,488,74.6,2515,373,1078,14,22,A,Yes,20
75,20-0805,Sheffield Utd,0,0,0,0,9,2,2,0,723,121,22,6,9,0.5,0.5,0.2,12,0,489,612,79.9,2695,514,1231,6,10,A,Yes,20
76,20-0806,Crystal Palace,1,1,0,0,9,4,3,0,651,205,30,5,16,1.3,1.3,1.1,12,2,449,543,82.7,2495,413,1248,7,12,A,Yes,20
77,20-0807,Bournemouth,0,0,0,0,10,2,2,0,595,249,20,3,28,0.5,0.5,0.4,14,0,344,442,77.8,2801,348,985,14,24,A,Yes,20
78,20-0808,Wolves,2,2,0,0,7,2,2,0,383,215,26,10,23,1.6,1.6,1.3,12,4,156,232,67.2,1466,177,816,13,19,A,Yes,20
79,20-0809,Chelsea,4,4,0,0,14,7,1,0,681,160,27,9,17,1.9,1.9,1.9,24,7,422,549,76.9,2694,461,973,9,16,A,Yes,20
80,20-0810,Manchester Utd,0,0,0,0,12,2,3,0,716,102,15,4,11,0.6,0.6,0.5,21,0,532,632,84.2,2823,517,1957,3,9,A,Yes,20
81,20-0901,West Ham,0,0,0,0,9,4,2,0,549,181,16,8,20,0.9,0.9,0.4,14,0,297,405,73.3,2480,325,941,8,10,A,Yes,20
82,20-0902,Norwich City,0,0,0,0,10,1,3,0,635,152,11,7,19,0.4,0.4,0.4,19,0,414,505,82,2884,441,1198,12,18,A,Yes,20
83,20-0903,Brighton,1,1,0,0,20,6,4,1,620,191,10,12,15,1.2,1.2,1.1,32,2,427,514,83.1,2855,407,1568,7,9,A,Yes,20
